label,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Impairment of goodwill,29800000.0,0.0,42200000.0,0.0,0.0,0.0,0.0,0.0
Impairment of goodwill and other intangible assets,0.0,0.0,0.0,0.0,0.0,0.0,63300000.0,124900000.0
"Other operating expense (income), net",-900000.0,0.0,-1500000.0,-1200000.0,0.0,0.0,0.0,0.0
"Loss (gain) on extinguishment of debt, net",-5800000.0,-2100000.0,0.0,0.0,0.0,0.0,0.0,0.0
"(Gain) loss on extinguishment of debt, net",0.0,0.0,40500000.0,72600000.0,0.0,0.0,0.0,0.0
"Loss on extinguishment and refinancing of debt, net",0.0,0.0,0.0,0.0,-94800000.0,0.0,0.0,0.0
"Loss on extinguishment of debt, net",0.0,0.0,0.0,0.0,0.0,-72900000.0,-6100000.0,-31100000.0
Gain on investment in BellRing,0.0,0.0,5100000.0,437100000.0,0.0,0.0,0.0,0.0
Gain on sale of business,0.0,0.0,0.0,0.0,0.0,0.0,126600000.0,0.0
Earnings before Income Taxes and Equity Method (Earnings) Loss,444000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings (Loss) before Income Taxes and Equity Method Loss,0.0,0.0,0.0,895300000.0,0.0,0.0,0.0,264700000.0
Earnings before Income Taxes and Equity Method Loss,0.0,472100000.0,412900000.0,0.0,337200000.0,63400000.0,159100000.0,0.0
"Equity method (earnings) loss, net of tax",500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Equity method loss, net of tax",0.0,-100000.0,-300000.0,-67100000.0,-43900000.0,-30900000.0,-37000000.0,-300000.0
Net Earnings from Continuing Operations,0.0,366700000.0,301300000.0,0.0,0.0,0.0,0.0,0.0
"Net earnings from discontinued operations, net of tax and noncontrolling interest",0.0,0.0,0.0,21600000.0,0.0,0.0,0.0,0.0
Gross Profit,2339400000.0,2304900000.0,1881700000.0,1467500000.0,1814300000.0,1787400000.0,1792100000.0,1866800000.0
"Interest expense, net",361400000.0,316500000.0,279100000.0,317800000.0,375800000.0,388600000.0,322400000.0,387300000.0
"Expense (income) on swaps, net",0.0,-15700000.0,0.0,0.0,0.0,-187100000.0,-306600000.0,0.0
"Other income, net",5000000.0,12900000.0,7600000.0,19800000.0,-29300000.0,-11500000.0,-13200000.0,0.0
"(Income) expense on swaps, net",6900000.0,0.0,0.0,268000000.0,122800000.0,0.0,0.0,95600000.0
"Income on swaps, net",0.0,0.0,39900000.0,0.0,0.0,0.0,0.0,0.0
"Other operating (income) expense, net",0.0,3600000.0,0.0,0.0,0.0,0.0,0.0,0.0
"Other operating expenses, net",0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,1800000.0
"Other operating (income) expenses, net",0.0,0.0,0.0,0.0,9900000.0,7700000.0,0.0,0.0
Less: Net earnings attributable to noncontrolling interest,0.0,0.0,0.0,0.0,0.0,0.0,1300000.0,1100000.0
Less: Net earnings attributable to noncontrolling interests from continuing operations,0.0,200000.0,11600000.0,7500000.0,0.0,0.0,0.0,0.0
Less: Net earnings attributable to noncontrolling interests,100000.0,0.0,0.0,0.0,40000000.0,28200000.0,0.0,0.0
Net Earnings (Loss) from Continuing Operations,0.0,0.0,0.0,735000000.0,0.0,0.0,0.0,0.0
"Earnings (Loss) from Continuing Operations, Per Basic Share",0.0,6.12,5.21,12.07,0.0,0.0,0.0,0.0
"Earnings (Loss) from Continuing Operations, Per Diluted Share",0.0,5.64,4.82,11.75,0.0,0.0,0.0,0.0
"Discontinued Operation, Earnings (Loss) from Discontinued Operation, Net of Tax, Per Basic Share",0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0
"Discontinued Operation, Earnings (Loss) from Discontinued Operation, Net of Tax, Per Diluted Share",0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
Revenue,8158100000.0,7922700000.0,6991000000.0,5851200000.0,6226700000.0,5698700000.0,5681100000.0,6257200000.0
Total Cost of Revenue,5818700000.0,5617800000.0,5109300000.0,4383700000.0,4412400000.0,3911300000.0,3889000000.0,4390400000.0
"Selling, General and Administrative Expense",1308600000.0,1330400000.0,1078400000.0,904700000.0,974100000.0,934300000.0,911600000.0,975200000.0
Depreciation and Amortization,200800000.0,184600000.0,160700000.0,146000000.0,194400000.0,160300000.0,161300000.0,177400000.0
Operating Income,799300000.0,793500000.0,598900000.0,415600000.0,655700000.0,700500000.0,781000000.0,587500000.0
Income Tax Expense,108700000.0,105100000.0,99700000.0,85700000.0,86600000.0,3500000.0,-3900000.0,-204000000.0
Net Income from Continuing Operations,335800000.0,366900000.0,312900000.0,742500000.0,0.0,0.0,0.0,0.0
Net Income,335700000.0,366700000.0,301300000.0,756600000.0,166700000.0,800000.0,124700000.0,467300000.0
Earnings Per Share (Basic),5.98,6.12,5.21,12.42,2.42,0.01,1.72,6.87
Earnings Per Share (Diluted),5.51,5.64,4.82,12.09,2.38,0.01,1.66,6.16
Shares Outstanding (Basic),56100000.0,59900000.0,60000000.0,60900000.0,64200000.0,68900000.0,70800000.0,66600000.0
Shares Outstanding (Diluted),62900000.0,66900000.0,67000000.0,62700000.0,65300000.0,70100000.0,75100000.0,75900000.0
Profit or Loss,0.0,0.0,0.0,0.0,206700000.0,29000000.0,126000000.0,468400000.0
Basic Net Income Available to Common Shareholders,0.0,0.0,0.0,0.0,166700000.0,800000.0,121700000.0,457300000.0
Preferred stock dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
Less: Preferred stock dividends,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0
